category_id,category_code,interaction_count
2053013555631882655,electronics.smartphone,28833250
2053013553559896355,,5294285
2053013558920217191,computers.notebook,3394767
2053013554415534427,electronics.video.tv,3374747
2053013554658804075,electronics.audio.headphone,3007758
2053013563810775923,appliances.kitchen.washer,2329638
2053013565983425517,appliances.environment.vacuum,2328665
2053013563651392361,,2303605
2053013553341792533,electronics.clocks,1882651
2053013561579406073,electronics.clocks,1630396
